x,y,intensidad,temperatura_real_C
0.0,0.0,1e-04,30.0
4.0,0.0,1e-04,30.0
8.0,0.0,1e-04,30.0
12.0,0.0,1e-04,30.0
16.0,0.0,1e-04,30.0
20.0,0.0,1e-04,30.0
24.0,0.0,1e-04,30.0
28.0,0.0,1e-04,30.0
32.0,0.0,1e-04,30.0
36.0,0.0,1e-04,30.0
40.0,0.0,1e-04,30.0
44.0,0.0,0.0002,30.0
48.0,0.0,0.0002,30.0
52.0,0.0,0.0002,30.0
56.0,0.0,0.0002,30.0
60.0,0.0,0.0002,30.0
64.0,0.0,0.0002,30.0
68.0,0.0,0.0002,30.0
72.0,0.0,0.0003,30.0
76.0,0.0,0.0003,30.0
80.0,0.0,0.0003,30.0
84.0,0.0,0.0003,30.0
88.0,0.0,0.0003,30.0
92.0,0.0,0.0004,30.0
96.0,0.0,0.0004,30.0
100.0,0.0,0.0004,30.0
104.0,0.0,0.0005,30.0
108.0,0.0,0.0005,30.0
112.0,0.0,0.0005,30.0
116.0,0.0,0.0006,30.0
120.0,0.0,0.0006,30.0
124.0,0.0,0.0006,30.0
128.0,0.0,0.0007,30.0
132.0,0.0,0.0007,30.0
136.0,0.0,0.0008,30.0
140.0,0.0,0.0008,30.0
144.0,0.0,0.0009,30.0
148.0,0.0,0.001,30.0
152.0,0.0,0.001,30.0
156.0,0.0,0.0011,30.0
160.0,0.0,0.0012,30.0
164.0,0.0,0.0013,30.0
168.0,0.0,0.0014,30.0
172.0,0.0,0.0015,30.0
176.0,0.0,0.0016,30.0
180.0,0.0,0.0017,30.0
184.0,0.0,0.0018,30.0
188.0,0.0,0.0019,30.0
192.0,0.0,0.002,30.0
196.0,0.0,0.0022,30.0
200.0,0.0,0.0023,30.0
204.0,0.0,0.0025,30.0
208.0,0.0,0.0026,30.0
212.0,0.0,0.0028,30.0
216.0,0.0,0.003,30.0
220.0,0.0,0.0032,30.0
224.0,0.0,0.0034,30.0
228.0,0.0,0.0036,30.0
232.0,0.0,0.0038,30.0
236.0,0.0,0.0041,30.0
240.0,0.0,0.0044,30.0
244.0,0.0,0.0046,30.0
248.0,0.0,0.0049,30.0
252.0,0.0,0.0052,30.0
256.0,0.0,0.0056,30.0
260.0,0.0,0.0059,30.0
264.0,0.0,0.0063,30.0
268.0,0.0,0.0067,30.0
272.0,0.0,0.0071,30.0
276.0,0.0,0.0076,30.0
280.0,0.0,0.0081,30.0
284.0,0.0,0.0086,30.0
288.0,0.0,0.0091,30.0
292.0,0.0,0.0096,30.0
296.0,0.0,0.0102,30.0
300.0,0.0,0.0108,30.0
304.0,0.0,0.0115,30.0
308.0,0.0,0.0122,30.0
312.0,0.0,0.0129,30.0
316.0,0.0,0.0137,30.0
320.0,0.0,0.0145,30.0
324.0,0.0,0.0153,30.0
328.0,0.0,0.0162,30.0
332.0,0.0,0.0171,30.0
336.0,0.0,0.0181,29.99
340.0,0.0,0.0191,29.99
344.0,0.0,0.0201,29.99
348.0,0.0,0.0212,29.99
352.0,0.0,0.0224,29.99
356.0,0.0,0.0236,29.99
360.0,0.0,0.0248,29.99
364.0,0.0,0.0261,29.99
368.0,0.0,0.0274,29.99
372.0,0.0,0.0288,29.99
376.0,0.0,0.0303,29.99
380.0,0.0,0.0317,29.99
384.0,0.0,0.0332,29.99
388.0,0.0,0.0348,29.99
392.0,0.0,0.0364,29.99
396.0,0.0,0.038,29.99
400.0,0.0,0.0397,29.99
404.0,0.0,0.0414,29.99
408.0,0.0,0.0431,29.99
412.0,0.0,0.0449,29.99
416.0,0.0,0.0466,29.99
420.0,0.0,0.0484,29.99
424.0,0.0,0.0502,29.99
428.0,0.0,0.052,29.99
432.0,0.0,0.0538,29.98
436.0,0.0,0.0556,29.98
440.0,0.0,0.0574,29.98
444.0,0.0,0.0592,29.98
448.0,0.0,0.0609,29.98
452.0,0.0,0.0626,29.98
456.0,0.0,0.0643,29.98
460.0,0.0,0.0659,29.98
464.0,0.0,0.0674,29.98
468.0,0.0,0.0689,29.98
472.0,0.0,0.0703,29.98
476.0,0.0,0.0717,29.98
480.0,0.0,0.0729,29.98
484.0,0.0,0.0741,29.98
488.0,0.0,0.0752,29.98
492.0,0.0,0.0762,29.98
496.0,0.0,0.077,29.98
500.0,0.0,0.0777,29.98
