x,y,intensidad,temperatura_real_C
504.0,0.0,0.0784,29.98
508.0,0.0,0.0789,29.98
512.0,0.0,0.0792,29.98
516.0,0.0,0.0795,29.98
520.0,0.0,0.0796,29.98
524.0,0.0,0.0796,29.98
528.0,0.0,0.0794,29.98
532.0,0.0,0.0792,29.98
536.0,0.0,0.0788,29.98
540.0,0.0,0.0782,29.98
544.0,0.0,0.0776,29.98
548.0,0.0,0.0768,29.98
552.0,0.0,0.0759,29.98
556.0,0.0,0.0749,29.98
560.0,0.0,0.0738,29.98
564.0,0.0,0.0726,29.98
568.0,0.0,0.0713,29.98
572.0,0.0,0.0699,29.98
576.0,0.0,0.0684,29.98
580.0,0.0,0.0669,29.98
584.0,0.0,0.0653,29.98
588.0,0.0,0.0636,29.98
592.0,0.0,0.0619,29.98
596.0,0.0,0.0601,29.98
600.0,0.0,0.0584,29.98
604.0,0.0,0.0565,29.98
608.0,0.0,0.0547,29.98
612.0,0.0,0.0528,29.99
616.0,0.0,0.051,29.99
620.0,0.0,0.0491,29.99
624.0,0.0,0.0473,29.99
628.0,0.0,0.0454,29.99
632.0,0.0,0.0436,29.99
636.0,0.0,0.0418,29.99
640.0,0.0,0.04,29.99
644.0,0.0,0.0382,29.99
648.0,0.0,0.0365,29.99
652.0,0.0,0.0348,29.99
656.0,0.0,0.0332,29.99
660.0,0.0,0.0316,29.99
664.0,0.0,0.03,29.99
668.0,0.0,0.0285,29.99
672.0,0.0,0.0271,29.99
676.0,0.0,0.0256,29.99
680.0,0.0,0.0243,29.99
684.0,0.0,0.023,29.99
688.0,0.0,0.0217,29.99
692.0,0.0,0.0205,29.99
696.0,0.0,0.0193,29.99
700.0,0.0,0.0182,29.99
704.0,0.0,0.0172,30.0
708.0,0.0,0.0161,30.0
712.0,0.0,0.0152,30.0
716.0,0.0,0.0143,30.0
720.0,0.0,0.0134,30.0
724.0,0.0,0.0125,30.0
728.0,0.0,0.0118,30.0
732.0,0.0,0.011,30.0
736.0,0.0,0.0103,30.0
740.0,0.0,0.0096,30.0
744.0,0.0,0.009,30.0
748.0,0.0,0.0084,30.0
752.0,0.0,0.0078,30.0
756.0,0.0,0.0073,30.0
760.0,0.0,0.0068,30.0
764.0,0.0,0.0064,30.0
768.0,0.0,0.0059,30.0
772.0,0.0,0.0055,30.0
776.0,0.0,0.0051,30.0
780.0,0.0,0.0048,30.0
784.0,0.0,0.0044,30.0
788.0,0.0,0.0041,30.0
792.0,0.0,0.0038,30.0
796.0,0.0,0.0035,30.0
0.0,3.0,1e-04,30.0
4.0,3.0,1e-04,30.0
8.0,3.0,1e-04,30.0
12.0,3.0,1e-04,30.0
16.0,3.0,1e-04,30.0
20.0,3.0,1e-04,30.0
24.0,3.0,1e-04,30.0
28.0,3.0,1e-04,30.0
32.0,3.0,1e-04,30.0
36.0,3.0,1e-04,30.0
40.0,3.0,0.0002,30.0
44.0,3.0,0.0002,30.0
48.0,3.0,0.0002,30.0
52.0,3.0,0.0002,30.0
56.0,3.0,0.0002,30.0
60.0,3.0,0.0002,30.0
64.0,3.0,0.0002,30.0
68.0,3.0,0.0003,30.0
72.0,3.0,0.0003,30.0
76.0,3.0,0.0003,30.0
80.0,3.0,0.0003,30.0
84.0,3.0,0.0003,30.0
88.0,3.0,0.0004,30.0
92.0,3.0,0.0004,30.0
96.0,3.0,0.0004,30.0
100.0,3.0,0.0005,30.0
104.0,3.0,0.0005,30.0
108.0,3.0,0.0005,30.0
112.0,3.0,0.0006,30.0
116.0,3.0,0.0006,30.0
120.0,3.0,0.0006,30.0
124.0,3.0,0.0007,30.0
128.0,3.0,0.0007,30.0
132.0,3.0,0.0008,30.0
136.0,3.0,0.0009,30.0
140.0,3.0,0.0009,30.0
144.0,3.0,0.001,30.0
148.0,3.0,0.001,30.0
152.0,3.0,0.0011,30.0
156.0,3.0,0.0012,30.0
160.0,3.0,0.0013,30.0
164.0,3.0,0.0014,30.0
168.0,3.0,0.0015,30.0
172.0,3.0,0.0016,30.0
176.0,3.0,0.0017,30.0
180.0,3.0,0.0018,30.0
184.0,3.0,0.0019,30.0
188.0,3.0,0.002,30.0
192.0,3.0,0.0022,30.0
196.0,3.0,0.0023,30.0
200.0,3.0,0.0025,30.0
204.0,3.0,0.0026,30.0
208.0,3.0,0.0028,30.0
212.0,3.0,0.003,30.0
216.0,3.0,0.0032,30.0
220.0,3.0,0.0034,30.0
224.0,3.0,0.0036,30.0
228.0,3.0,0.0039,30.0
232.0,3.0,0.0041,30.0
236.0,3.0,0.0044,30.0
240.0,3.0,0.0047,30.0
244.0,3.0,0.005,30.0
248.0,3.0,0.0053,30.0
252.0,3.0,0.0057,30.0
256.0,3.0,0.006,30.0
260.0,3.0,0.0064,30.0
264.0,3.0,0.0068,30.0
268.0,3.0,0.0072,30.0
272.0,3.0,0.0077,30.0
276.0,3.0,0.0082,30.0
280.0,3.0,0.0087,30.0
284.0,3.0,0.0092,30.0
288.0,3.0,0.0098,30.0
292.0,3.0,0.0104,30.0
296.0,3.0,0.0111,30.0
300.0,3.0,0.0117,30.0
304.0,3.0,0.0124,30.0
308.0,3.0,0.0132,30.0
312.0,3.0,0.014,30.0
316.0,3.0,0.0148,30.0
320.0,3.0,0.0157,30.0
324.0,3.0,0.0166,30.0
328.0,3.0,0.0175,30.0
332.0,3.0,0.0186,29.99
336.0,3.0,0.0196,29.99
340.0,3.0,0.0207,29.99
344.0,3.0,0.0219,29.99
348.0,3.0,0.0231,29.99
352.0,3.0,0.0243,29.99
356.0,3.0,0.0256,29.99
360.0,3.0,0.027,29.99
364.0,3.0,0.0284,29.99
368.0,3.0,0.0299,29.99
372.0,3.0,0.0314,29.99
376.0,3.0,0.033,29.99
380.0,3.0,0.0346,29.99
384.0,3.0,0.0363,29.99
388.0,3.0,0.038,29.99
392.0,3.0,0.0398,29.99
396.0,3.0,0.0416,29.99
400.0,3.0,0.0434,29.99
404.0,3.0,0.0453,29.99
408.0,3.0,0.0472,29.99
412.0,3.0,0.0491,29.99
416.0,3.0,0.0511,29.99
420.0,3.0,0.0531,29.99
424.0,3.0,0.0551,29.98
428.0,3.0,0.0571,29.98
432.0,3.0,0.0591,29.98
436.0,3.0,0.0611,29.98
440.0,3.0,0.0631,29.98
444.0,3.0,0.0651,29.98
448.0,3.0,0.067,29.98
452.0,3.0,0.0689,29.98
456.0,3.0,0.0708,29.98
460.0,3.0,0.0726,29.98
464.0,3.0,0.0743,29.98
468.0,3.0,0.076,29.98
472.0,3.0,0.0776,29.98
476.0,3.0,0.0791,29.98
480.0,3.0,0.0805,29.98
484.0,3.0,0.0818,29.98
488.0,3.0,0.083,29.98
492.0,3.0,0.0841,29.98
496.0,3.0,0.085,29.98
500.0,3.0,0.0859,29.98
504.0,3.0,0.0866,29.98
508.0,3.0,0.0871,29.98
512.0,3.0,0.0876,29.98
516.0,3.0,0.0878,29.98
520.0,3.0,0.088,29.98
524.0,3.0,0.0879,29.98
528.0,3.0,0.0878,29.98
532.0,3.0,0.0875,29.98
536.0,3.0,0.087,29.98
540.0,3.0,0.0864,29.98
544.0,3.0,0.0857,29.98
548.0,3.0,0.0848,29.98
552.0,3.0,0.0838,29.98
556.0,3.0,0.0827,29.98
560.0,3.0,0.0815,29.98
564.0,3.0,0.0801,29.98
568.0,3.0,0.0786,29.98
572.0,3.0,0.0771,29.98
576.0,3.0,0.0754,29.98
580.0,3.0,0.0737,29.98
584.0,3.0,0.0719,29.98
588.0,3.0,0.07,29.98
592.0,3.0,0.0681,29.98
596.0,3.0,0.0662,29.98
600.0,3.0,0.0642,29.98
604.0,3.0,0.0621,29.98
608.0,3.0,0.0601,29.98
612.0,3.0,0.058,29.98
616.0,3.0,0.0559,29.98
620.0,3.0,0.0539,29.98
624.0,3.0,0.0518,29.99
628.0,3.0,0.0497,29.99
632.0,3.0,0.0477,29.99
636.0,3.0,0.0457,29.99
640.0,3.0,0.0437,29.99
644.0,3.0,0.0418,29.99
648.0,3.0,0.0399,29.99
652.0,3.0,0.038,29.99
656.0,3.0,0.0362,29.99
660.0,3.0,0.0344,29.99
664.0,3.0,0.0327,29.99
668.0,3.0,0.0311,29.99
672.0,3.0,0.0294,29.99
676.0,3.0,0.0279,29.99
680.0,3.0,0.0264,29.99
684.0,3.0,0.0249,29.99
688.0,3.0,0.0236,29.99
692.0,3.0,0.0222,29.99
696.0,3.0,0.021,29.99
700.0,3.0,0.0197,29.99
704.0,3.0,0.0186,29.99
708.0,3.0,0.0175,30.0
712.0,3.0,0.0164,30.0
716.0,3.0,0.0154,30.0
720.0,3.0,0.0144,30.0
724.0,3.0,0.0135,30.0
728.0,3.0,0.0127,30.0
732.0,3.0,0.0119,30.0
736.0,3.0,0.0111,30.0
740.0,3.0,0.0104,30.0
744.0,3.0,0.0097,30.0
748.0,3.0,0.009,30.0
752.0,3.0,0.0084,30.0
756.0,3.0,0.0079,30.0
760.0,3.0,0.0073,30.0
764.0,3.0,0.0068,30.0
768.0,3.0,0.0063,30.0
772.0,3.0,0.0059,30.0
776.0,3.0,0.0055,30.0
780.0,3.0,0.0051,30.0
784.0,3.0,0.0047,30.0
788.0,3.0,0.0044,30.0
792.0,3.0,0.0041,30.0
796.0,3.0,0.0038,30.0
0.0,6.1,1e-04,30.0
4.0,6.1,1e-04,30.0
8.0,6.1,1e-04,30.0
12.0,6.1,1e-04,30.0
16.0,6.1,1e-04,30.0
20.0,6.1,1e-04,30.0
24.0,6.1,1e-04,30.0
28.0,6.1,1e-04,30.0
32.0,6.1,1e-04,30.0
36.0,6.1,0.0002,30.0
40.0,6.1,0.0002,30.0
44.0,6.1,0.0002,30.0
48.0,6.1,0.0002,30.0
52.0,6.1,0.0002,30.0
56.0,6.1,0.0002,30.0
60.0,6.1,0.0002,30.0
64.0,6.1,0.0003,30.0
68.0,6.1,0.0003,30.0
72.0,6.1,0.0003,30.0
76.0,6.1,0.0003,30.0
80.0,6.1,0.0003,30.0
84.0,6.1,0.0004,30.0
88.0,6.1,0.0004,30.0
92.0,6.1,0.0004,30.0
96.0,6.1,0.0005,30.0
100.0,6.1,0.0005,30.0
104.0,6.1,0.0005,30.0
108.0,6.1,0.0006,30.0
112.0,6.1,0.0006,30.0
116.0,6.1,0.0006,30.0
120.0,6.1,0.0007,30.0
124.0,6.1,0.0007,30.0
128.0,6.1,0.0008,30.0
132.0,6.1,0.0009,30.0
136.0,6.1,0.0009,30.0
140.0,6.1,0.001,30.0
144.0,6.1,0.001,30.0
148.0,6.1,0.0011,30.0
152.0,6.1,0.0012,30.0
156.0,6.1,0.0013,30.0
160.0,6.1,0.0014,30.0
164.0,6.1,0.0015,30.0
168.0,6.1,0.0016,30.0
172.0,6.1,0.0017,30.0
176.0,6.1,0.0018,30.0
180.0,6.1,0.0019,30.0
184.0,6.1,0.002,30.0
188.0,6.1,0.0022,30.0
192.0,6.1,0.0023,30.0
196.0,6.1,0.0025,30.0
200.0,6.1,0.0027,30.0
204.0,6.1,0.0028,30.0
208.0,6.1,0.003,30.0
212.0,6.1,0.0032,30.0
216.0,6.1,0.0034,30.0
220.0,6.1,0.0037,30.0
224.0,6.1,0.0039,30.0
228.0,6.1,0.0042,30.0
232.0,6.1,0.0044,30.0
236.0,6.1,0.0047,30.0
240.0,6.1,0.005,30.0
244.0,6.1,0.0054,30.0
248.0,6.1,0.0057,30.0
252.0,6.1,0.0061,30.0
256.0,6.1,0.0065,30.0
260.0,6.1,0.0069,30.0
264.0,6.1,0.0073,30.0
268.0,6.1,0.0078,30.0
272.0,6.1,0.0083,30.0
276.0,6.1,0.0088,30.0
280.0,6.1,0.0094,30.0
284.0,6.1,0.01,30.0
288.0,6.1,0.0106,30.0
292.0,6.1,0.0112,30.0
296.0,6.1,0.0119,30.0
300.0,6.1,0.0127,30.0
304.0,6.1,0.0134,30.0
308.0,6.1,0.0143,30.0
312.0,6.1,0.0151,30.0
316.0,6.1,0.016,30.0
320.0,6.1,0.017,30.0
324.0,6.1,0.018,29.99
328.0,6.1,0.019,29.99
332.0,6.1,0.0201,29.99
336.0,6.1,0.0213,29.99
340.0,6.1,0.0225,29.99
344.0,6.1,0.0237,29.99
348.0,6.1,0.0251,29.99
352.0,6.1,0.0264,29.99
356.0,6.1,0.0279,29.99
360.0,6.1,0.0294,29.99
364.0,6.1,0.0309,29.99
368.0,6.1,0.0325,29.99
372.0,6.1,0.0342,29.99
376.0,6.1,0.0359,29.99
380.0,6.1,0.0377,29.99
384.0,6.1,0.0396,29.99
388.0,6.1,0.0415,29.99
392.0,6.1,0.0434,29.99
396.0,6.1,0.0454,29.99
400.0,6.1,0.0474,29.99
404.0,6.1,0.0495,29.99
408.0,6.1,0.0517,29.99
412.0,6.1,0.0538,29.98
416.0,6.1,0.056,29.98
420.0,6.1,0.0582,29.98
424.0,6.1,0.0604,29.98
428.0,6.1,0.0627,29.98
432.0,6.1,0.0649,29.98
436.0,6.1,0.0671,29.98
440.0,6.1,0.0693,29.98
444.0,6.1,0.0715,29.98
448.0,6.1,0.0737,29.98
452.0,6.1,0.0758,29.98
456.0,6.1,0.0779,29.98
460.0,6.1,0.0799,29.98
464.0,6.1,0.0819,29.98
468.0,6.1,0.0837,29.98
472.0,6.1,0.0855,29.98
476.0,6.1,0.0872,29.98
480.0,6.1,0.0888,29.98
484.0,6.1,0.0903,29.97
488.0,6.1,0.0916,29.97
492.0,6.1,0.0928,29.97
496.0,6.1,0.0939,29.97
500.0,6.1,0.0948,29.97
504.0,6.1,0.0956,29.97
508.0,6.1,0.0963,29.97
512.0,6.1,0.0967,29.97
516.0,6.1,0.0971,29.97
520.0,6.1,0.0972,29.97
524.0,6.1,0.0972,29.97
528.0,6.1,0.097,29.97
532.0,6.1,0.0967,29.97
536.0,6.1,0.0961,29.97
540.0,6.1,0.0955,29.97
544.0,6.1,0.0947,29.97
548.0,6.1,0.0937,29.97
552.0,6.1,0.0926,29.97
556.0,6.1,0.0913,29.97
560.0,6.1,0.0899,29.97
564.0,6.1,0.0884,29.98
568.0,6.1,0.0867,29.98
572.0,6.1,0.085,29.98
576.0,6.1,0.0832,29.98
580.0,6.1,0.0812,29.98
584.0,6.1,0.0792,29.98
588.0,6.1,0.0771,29.98
592.0,6.1,0.075,29.98
596.0,6.1,0.0728,29.98
600.0,6.1,0.0705,29.98
604.0,6.1,0.0683,29.98
608.0,6.1,0.066,29.98
612.0,6.1,0.0637,29.98
616.0,6.1,0.0614,29.98
620.0,6.1,0.0591,29.98
624.0,6.1,0.0568,29.98
628.0,6.1,0.0545,29.98
632.0,6.1,0.0522,29.99
636.0,6.1,0.05,29.99
640.0,6.1,0.0478,29.99
644.0,6.1,0.0457,29.99
648.0,6.1,0.0436,29.99
652.0,6.1,0.0415,29.99
656.0,6.1,0.0395,29.99
660.0,6.1,0.0375,29.99
664.0,6.1,0.0356,29.99
668.0,6.1,0.0338,29.99
672.0,6.1,0.032,29.99
676.0,6.1,0.0303,29.99
680.0,6.1,0.0287,29.99
684.0,6.1,0.0271,29.99
688.0,6.1,0.0256,29.99
692.0,6.1,0.0241,29.99
696.0,6.1,0.0227,29.99
700.0,6.1,0.0214,29.99
704.0,6.1,0.0201,29.99
708.0,6.1,0.0189,29.99
712.0,6.1,0.0177,30.0
716.0,6.1,0.0166,30.0
720.0,6.1,0.0156,30.0
724.0,6.1,0.0146,30.0
728.0,6.1,0.0137,30.0
732.0,6.1,0.0128,30.0
736.0,6.1,0.0119,30.0
740.0,6.1,0.0112,30.0
744.0,6.1,0.0104,30.0
748.0,6.1,0.0097,30.0
752.0,6.1,0.0091,30.0
756.0,6.1,0.0084,30.0
760.0,6.1,0.0078,30.0
764.0,6.1,0.0073,30.0
768.0,6.1,0.0068,30.0
772.0,6.1,0.0063,30.0
776.0,6.1,0.0059,30.0
780.0,6.1,0.0054,30.0
784.0,6.1,0.0051,30.0
788.0,6.1,0.0047,30.0
792.0,6.1,0.0043,30.0
796.0,6.1,0.004,30.0
0.0,9.1,1e-04,30.0
4.0,9.1,1e-04,30.0
8.0,9.1,1e-04,30.0
12.0,9.1,1e-04,30.0
16.0,9.1,1e-04,30.0
20.0,9.1,1e-04,30.0
24.0,9.1,1e-04,30.0
28.0,9.1,1e-04,30.0
32.0,9.1,1e-04,30.0
36.0,9.1,0.0002,30.0
40.0,9.1,0.0002,30.0
44.0,9.1,0.0002,30.0
48.0,9.1,0.0002,30.0
52.0,9.1,0.0002,30.0
56.0,9.1,0.0002,30.0
60.0,9.1,0.0003,30.0
64.0,9.1,0.0003,30.0
68.0,9.1,0.0003,30.0
72.0,9.1,0.0003,30.0
76.0,9.1,0.0003,30.0
80.0,9.1,0.0004,30.0
84.0,9.1,0.0004,30.0
88.0,9.1,0.0004,30.0
92.0,9.1,0.0005,30.0
96.0,9.1,0.0005,30.0
100.0,9.1,0.0005,30.0
104.0,9.1,0.0006,30.0
108.0,9.1,0.0006,30.0
112.0,9.1,0.0006,30.0
116.0,9.1,0.0007,30.0
120.0,9.1,0.0007,30.0
124.0,9.1,0.0008,30.0
128.0,9.1,0.0009,30.0
132.0,9.1,0.0009,30.0
136.0,9.1,0.001,30.0
140.0,9.1,0.001,30.0
144.0,9.1,0.0011,30.0
148.0,9.1,0.0012,30.0
152.0,9.1,0.0013,30.0
156.0,9.1,0.0014,30.0
160.0,9.1,0.0015,30.0
164.0,9.1,0.0016,30.0
168.0,9.1,0.0017,30.0
172.0,9.1,0.0018,30.0
176.0,9.1,0.0019,30.0
180.0,9.1,0.0021,30.0
184.0,9.1,0.0022,30.0
188.0,9.1,0.0023,30.0
192.0,9.1,0.0025,30.0
196.0,9.1,0.0027,30.0
200.0,9.1,0.0029,30.0
204.0,9.1,0.003,30.0
208.0,9.1,0.0033,30.0
212.0,9.1,0.0035,30.0
216.0,9.1,0.0037,30.0
220.0,9.1,0.0039,30.0
224.0,9.1,0.0042,30.0
228.0,9.1,0.0045,30.0
232.0,9.1,0.0048,30.0
236.0,9.1,0.0051,30.0
240.0,9.1,0.0054,30.0
244.0,9.1,0.0058,30.0
248.0,9.1,0.0062,30.0
252.0,9.1,0.0066,30.0
256.0,9.1,0.007,30.0
260.0,9.1,0.0074,30.0
264.0,9.1,0.0079,30.0
268.0,9.1,0.0084,30.0
272.0,9.1,0.009,30.0
276.0,9.1,0.0095,30.0
280.0,9.1,0.0101,30.0
284.0,9.1,0.0108,30.0
288.0,9.1,0.0114,30.0
292.0,9.1,0.0121,30.0
296.0,9.1,0.0129,30.0
300.0,9.1,0.0137,30.0
304.0,9.1,0.0145,30.0
308.0,9.1,0.0154,30.0
312.0,9.1,0.0163,30.0
316.0,9.1,0.0173,30.0
320.0,9.1,0.0184,29.99
324.0,9.1,0.0194,29.99
328.0,9.1,0.0206,29.99
332.0,9.1,0.0218,29.99
336.0,9.1,0.0231,29.99
340.0,9.1,0.0244,29.99
344.0,9.1,0.0258,29.99
348.0,9.1,0.0272,29.99
352.0,9.1,0.0287,29.99
356.0,9.1,0.0303,29.99
360.0,9.1,0.0319,29.99
364.0,9.1,0.0336,29.99
368.0,9.1,0.0354,29.99
372.0,9.1,0.0372,29.99
376.0,9.1,0.0391,29.99
380.0,9.1,0.0411,29.99
384.0,9.1,0.0431,29.99
388.0,9.1,0.0452,29.99
392.0,9.1,0.0474,29.99
396.0,9.1,0.0496,29.99
400.0,9.1,0.0519,29.99
404.0,9.1,0.0542,29.98
408.0,9.1,0.0565,29.98
412.0,9.1,0.0589,29.98
416.0,9.1,0.0613,29.98
420.0,9.1,0.0638,29.98
424.0,9.1,0.0663,29.98
428.0,9.1,0.0687,29.98
432.0,9.1,0.0712,29.98
436.0,9.1,0.0737,29.98
440.0,9.1,0.0762,29.98
444.0,9.1,0.0786,29.98
448.0,9.1,0.0811,29.98
452.0,9.1,0.0834,29.98
456.0,9.1,0.0857,29.98
460.0,9.1,0.088,29.98
464.0,9.1,0.0902,29.97
468.0,9.1,0.0923,29.97
472.0,9.1,0.0943,29.97
476.0,9.1,0.0962,29.97
480.0,9.1,0.098,29.97
484.0,9.1,0.0996,29.97
488.0,9.1,0.1011,29.97
492.0,9.1,0.1025,29.97
496.0,9.1,0.1037,29.97
500.0,9.1,0.1048,29.97
504.0,9.1,0.1056,29.97
508.0,9.1,0.1064,29.97
512.0,9.1,0.1069,29.97
516.0,9.1,0.1072,29.97
520.0,9.1,0.1074,29.97
524.0,9.1,0.1074,29.97
528.0,9.1,0.1072,29.97
532.0,9.1,0.1068,29.97
536.0,9.1,0.1062,29.97
540.0,9.1,0.1055,29.97
544.0,9.1,0.1045,29.97
548.0,9.1,0.1035,29.97
552.0,9.1,0.1022,29.97
556.0,9.1,0.1008,29.97
560.0,9.1,0.0992,29.97
564.0,9.1,0.0975,29.97
568.0,9.1,0.0957,29.97
572.0,9.1,0.0937,29.97
576.0,9.1,0.0916,29.97
580.0,9.1,0.0895,29.97
584.0,9.1,0.0872,29.98
588.0,9.1,0.0849,29.98
592.0,9.1,0.0825,29.98
596.0,9.1,0.0801,29.98
600.0,9.1,0.0776,29.98
604.0,9.1,0.075,29.98
608.0,9.1,0.0725,29.98
612.0,9.1,0.0699,29.98
616.0,9.1,0.0673,29.98
620.0,9.1,0.0648,29.98
624.0,9.1,0.0622,29.98
628.0,9.1,0.0597,29.98
632.0,9.1,0.0572,29.98
636.0,9.1,0.0547,29.98
640.0,9.1,0.0523,29.99
644.0,9.1,0.0499,29.99
648.0,9.1,0.0475,29.99
652.0,9.1,0.0453,29.99
656.0,9.1,0.043,29.99
660.0,9.1,0.0409,29.99
664.0,9.1,0.0388,29.99
668.0,9.1,0.0368,29.99
672.0,9.1,0.0348,29.99
676.0,9.1,0.0329,29.99
680.0,9.1,0.0311,29.99
684.0,9.1,0.0294,29.99
688.0,9.1,0.0277,29.99
692.0,9.1,0.0261,29.99
696.0,9.1,0.0246,29.99
700.0,9.1,0.0231,29.99
704.0,9.1,0.0217,29.99
708.0,9.1,0.0204,29.99
712.0,9.1,0.0191,29.99
716.0,9.1,0.0179,29.99
720.0,9.1,0.0168,30.0
724.0,9.1,0.0157,30.0
728.0,9.1,0.0147,30.0
732.0,9.1,0.0138,30.0
736.0,9.1,0.0128,30.0
740.0,9.1,0.012,30.0
744.0,9.1,0.0112,30.0
748.0,9.1,0.0104,30.0
752.0,9.1,0.0097,30.0
756.0,9.1,0.009,30.0
760.0,9.1,0.0084,30.0
764.0,9.1,0.0078,30.0
768.0,9.1,0.0073,30.0
772.0,9.1,0.0068,30.0
776.0,9.1,0.0063,30.0
780.0,9.1,0.0058,30.0
784.0,9.1,0.0054,30.0
788.0,9.1,0.005,30.0
792.0,9.1,0.0046,30.0
796.0,9.1,0.0043,30.0
0.0,12.1,1e-04,30.0
4.0,12.1,1e-04,30.0
8.0,12.1,1e-04,30.0
12.0,12.1,1e-04,30.0
16.0,12.1,1e-04,30.0
20.0,12.1,1e-04,30.0
24.0,12.1,1e-04,30.0
28.0,12.1,1e-04,30.0
32.0,12.1,0.0002,30.0
36.0,12.1,0.0002,30.0
40.0,12.1,0.0002,30.0
44.0,12.1,0.0002,30.0
48.0,12.1,0.0002,30.0
52.0,12.1,0.0002,30.0
56.0,12.1,0.0003,30.0
60.0,12.1,0.0003,30.0
64.0,12.1,0.0003,30.0
68.0,12.1,0.0003,30.0
72.0,12.1,0.0003,30.0
76.0,12.1,0.0004,30.0
80.0,12.1,0.0004,30.0
84.0,12.1,0.0004,30.0
88.0,12.1,0.0004,30.0
92.0,12.1,0.0005,30.0
96.0,12.1,0.0005,30.0
