x,y,intensidad,temperatura_real_C
0.0,0.0,1e-04,30.0
4.0,0.0,1e-04,30.0
8.0,0.0,1e-04,30.0
12.0,0.0,1e-04,30.0
16.0,0.0,1e-04,30.0
20.0,0.0,1e-04,30.0
24.0,0.0,1e-04,30.0
28.0,0.0,1e-04,30.0
32.0,0.0,1e-04,30.0
36.0,0.0,1e-04,30.0
40.0,0.0,1e-04,30.0
44.0,0.0,0.0002,30.0
48.0,0.0,0.0002,30.0
52.0,0.0,0.0002,30.0
56.0,0.0,0.0002,30.0
60.0,0.0,0.0002,30.0
64.0,0.0,0.0002,30.0
68.0,0.0,0.0002,30.0
72.0,0.0,0.0002,30.0
76.0,0.0,0.0003,30.0
80.0,0.0,0.0003,30.0
84.0,0.0,0.0003,30.0
88.0,0.0,0.0003,30.0
92.0,0.0,0.0004,30.0
96.0,0.0,0.0004,30.0
100.0,0.0,0.0004,30.0
104.0,0.0,0.0004,30.0
108.0,0.0,0.0005,30.0
112.0,0.0,0.0005,30.0
116.0,0.0,0.0005,30.0
120.0,0.0,0.0006,30.0
124.0,0.0,0.0006,30.0
128.0,0.0,0.0007,30.0
132.0,0.0,0.0007,30.0
136.0,0.0,0.0007,30.0
140.0,0.0,0.0008,30.0
144.0,0.0,0.0009,30.0
148.0,0.0,0.0009,30.0
152.0,0.0,0.001,30.0
156.0,0.0,0.001,30.0
160.0,0.0,0.0011,30.0
164.0,0.0,0.0012,30.0
168.0,0.0,0.0013,30.0
172.0,0.0,0.0014,30.0
176.0,0.0,0.0014,30.0
180.0,0.0,0.0015,30.0
184.0,0.0,0.0016,30.0
188.0,0.0,0.0017,30.0
192.0,0.0,0.0019,30.0
196.0,0.0,0.002,30.0
200.0,0.0,0.0021,30.0
204.0,0.0,0.0022,30.0
208.0,0.0,0.0024,30.0
212.0,0.0,0.0025,30.0
216.0,0.0,0.0027,30.0
220.0,0.0,0.0029,30.0
224.0,0.0,0.0031,30.0
228.0,0.0,0.0032,30.0
232.0,0.0,0.0034,30.0
236.0,0.0,0.0037,30.0
240.0,0.0,0.0039,30.0
244.0,0.0,0.0041,30.0
248.0,0.0,0.0044,30.0
252.0,0.0,0.0047,30.0
256.0,0.0,0.0049,30.0
260.0,0.0,0.0052,30.0
264.0,0.0,0.0056,30.0
268.0,0.0,0.0059,30.0
272.0,0.0,0.0062,30.0
276.0,0.0,0.0066,30.0
280.0,0.0,0.007,30.0
284.0,0.0,0.0074,30.0
288.0,0.0,0.0079,30.0
292.0,0.0,0.0083,30.0
296.0,0.0,0.0088,30.0
300.0,0.0,0.0093,30.0
304.0,0.0,0.0099,30.0
308.0,0.0,0.0104,30.0
312.0,0.0,0.011,30.0
316.0,0.0,0.0116,29.99
320.0,0.0,0.0123,29.99
324.0,0.0,0.013,29.99
328.0,0.0,0.0137,29.99
332.0,0.0,0.0144,29.99
336.0,0.0,0.0152,29.99
340.0,0.0,0.016,29.99
344.0,0.0,0.0168,29.99
348.0,0.0,0.0177,29.99
352.0,0.0,0.0186,29.99
356.0,0.0,0.0196,29.99
360.0,0.0,0.0206,29.99
364.0,0.0,0.0216,29.99
368.0,0.0,0.0227,29.99
372.0,0.0,0.0238,29.99
376.0,0.0,0.0249,29.99
380.0,0.0,0.0261,29.99
384.0,0.0,0.0272,29.99
388.0,0.0,0.0285,29.99
392.0,0.0,0.0297,29.99
396.0,0.0,0.031,29.99
400.0,0.0,0.0323,29.99
404.0,0.0,0.0337,29.98
408.0,0.0,0.035,29.98
412.0,0.0,0.0364,29.98
416.0,0.0,0.0378,29.98
420.0,0.0,0.0392,29.98
424.0,0.0,0.0406,29.98
428.0,0.0,0.042,29.98
432.0,0.0,0.0434,29.98
436.0,0.0,0.0448,29.98
440.0,0.0,0.0462,29.98
444.0,0.0,0.0476,29.98
448.0,0.0,0.0489,29.98
452.0,0.0,0.0502,29.98
456.0,0.0,0.0515,29.98
460.0,0.0,0.0528,29.98
464.0,0.0,0.054,29.98
468.0,0.0,0.0552,29.98
472.0,0.0,0.0563,29.97
476.0,0.0,0.0573,29.97
480.0,0.0,0.0583,29.97
484.0,0.0,0.0592,29.97
488.0,0.0,0.0601,29.97
492.0,0.0,0.0608,29.97
496.0,0.0,0.0615,29.97
500.0,0.0,0.0621,29.97
504.0,0.0,0.0626,29.97
